title,target_genre,text_sample,,,,,,,,,,,,
The Iron Heel,Science Fiction,"Generally considered to be ""the earliest of the modern Dystopian,"" it chronicles the rise of an oligarchic tyranny in the United States. It is arguably the novel in which Jack London's socialist views are most explicitly on display. A forerunner of soft science fiction novels and stories of the 1960s and 1970s, the book stresses future changes in society and politics while paying much less attention to technological changes. THE SOFT summer wind stirs the redwood, and Wild-Water ripples sweet cadences over its mossy stones. The soft summer wind stirs the redwoods, and Wild-Water ripples sweet cadences over its mossy stones.",,,,,,,,,,,,
Anthem,Science Fiction,"Anthem is a tale of a future dark age of the great ""we"" - a world that deprives individuals of name, independence, and values.

He lived in the dark ages of the future. In a loveless world he dared to love the woman of his choice. In an age that had lost all traces of science and civilization he had the courage to seek and find knowledge. But these were not the crimes for which he would be hunted He was marked for death because he had committed the unpardonable sin: He had stood forth from the mindless human herd. He was alone.",,,,,,,,,,,,
Мы,Science Fiction,"Wikipedia

We is set in the future. D-503, a spacecraft engineer, lives in the One State, an urban nation constructed almost entirely of glass, which assists mass surveillance. The structure of the state is Panopticon-like, and life is scientifically managed F. W. Taylor-style. People march in step with each other and are uniformed. There is no way of referring to people except by their given numbers. The society is run strictly by logic or reason as the primary justification for the laws or the construct of the society. The individual's behavior is based on logic by way of formulas and equations outlined by the One State.

We is a dystopian novel completed in 1921. It was written in response to the author's personal experiences with the Russian revolutions of 1905 and 1917, his life in the Newcastle suburb of Jesmond and work in the Tyne shipyards at nearby Wallsend during the First World War. It was at Tyneside that he observed the rationalization of labor on a large scale.",,,,,,,,,,,,
Voyage au Centre de la Terre,Science Fiction,"Three explorers descend to the center of the earth, where they encounter tumultuous storms, wild prehistoric animals, and fierce cavemen. On 24 May 1863, which was a Sunday, my uncle, Professor Lidenbrock, came rushing back towards his little house, No. 19 Konigstrasse, one of the oldest streets in the old quarter of Hamburg. Looking back on everything that happened, I can hardly believe it wasn't all a dream! Looking back to all that has occurred to me since that eventful day, I am scarcely able to believe in the reality of my adventures.",,,,,,,,,,,,
The Hitch Hiker's Guide to the Galaxy,Science Fiction,"The Hitchhiker's Guide to the Galaxy is the first of six books in the Hitchhiker's Guide to the Galaxy comedy science fiction ""hexalogy"" by Douglas Adams. The novel is an adaptation of the first four parts of Adams's radio series of the same name. The novel was first published in London on 12 October 1979. It sold 250,000 copies in the first three months.

The namesake of the novel is The Hitchhiker's Guide to the Galaxy, a fictional guide book for hitchhikers (inspired by the Hitch-hiker's Guide to Europe) written in the form of an encyclopaedia.
Also contained in:
[The Hitch Hiker's Guide to the Galaxy: A Trilogy in Four Parts][1]
[The More than Complete Hitchhiker's Guide][2]
[Ultimate Hitchhiker's Guide to the Galaxy](

 [1]: 
 [2]:",,,,,,,,,,,,
The Time Machine,Science Fiction,"The Time Traveller, a dreamer obsessed with traveling through time, builds himself a time machine and, much to his surprise, travels over 800,000 years into the future. He lands in the year 802701: the world has been transformed by a society living in apparent harmony and bliss, but as the Traveler stays in the future he discovers a hidden barbaric and depraved subterranean class. Wells's transparent commentary on the capitalist society was an instant bestseller and launched the time-travel genre.",,,,,,,,,,,,
Phantastes,Science Fiction,"One of George MacDonald's most important works, Phantastes is the story of a young man named Anotos and his long dreamlike journey in Fairy Land. It is the fairy tale of deep spiritual insight as Anotos makes his way through moments of uncertainty and peril and mistakes that can have irreversible consequences. This is also his spiritual quest that is destined to end with the supreme surrender of the self. When he finally experiences the hard-won surrender, a wave of joy overwhelms him. His intense personal introspection is honest as he is offered the full range of symbolic choices--great beauty, horrifying ugliness, irritating goblins, nurturing spirits. Each confrontation in Fairy Land allows Anotos to learn many necessary lessons. As he continues on the journey, many shadowy beings threaten his spiritual well-being and compel him to sing. The songs are irresistible to a beautiful White Lady who is freed from inside a statue by the music, and Anotos remains captivated by her for a long time. He sees the world more objectively; his trek invites a natural descent into feelings of pride and egotism. But his losses and sorrows coalesce themselves into things of grace, and these experiences help his spiritual growth. Please Note: This book has been reformatted to be easy to read in true text, not scanned images that can sometimes be difficult to decipher. The Microsoft eBook has a contents page linked to the chapter headings for easy navigation. The Adobe eBook has bookmarks at chapter headings and is printable up to two full copies per year. Both versions are text searchable.",,,,,,,,,,,,
The Jewel of Seven Stars,Science Fiction,"This dark fantasy Bram Stoker book is full of suspense. Set in ancient Egypt, it will keep you on the edge of your seat with a twist Please Note: This book is easy to read in true text, not scanned images that can sometimes be difficult to decipher. This eBook has bookmarks at chapter headings and is printable up to two full copies per year.at the end. A must for Bram Stoker fans. IT all seemed so real that I could hardly imagine that it had ever occurred before; and yet each episode came, not as a fresh step in the logic of things, but as something expected. IT ALL SEEMED SO REAL THAT I COULD HARDLY IMAGINE that it had ever occurred before; and yet each episode came, not as a fresh step in the logic things, but as something expected. IT ALL SEEMED SO REAL THAT I COULD HARDLY IMAGINE that it had ever occurred before; and yet each episode came, not as a fresh step in the logic of things, but as something expected.",,,,,,,,,,,,
Brave New World,Science Fiction,"Originally published in 1932, this outstanding work of literature is more crucial and relevant today than ever before. Cloning, feel-good drugs, antiaging programs, and total social control through politics, programming, and media -- has Aldous Huxley accurately predicted our future? With a storyteller's genius, he weaves these ethical controversies in a compelling narrative that dawns in the year 632 AF (After Ford, the deity). When Lenina and Bernard visit a savage reservation, we experience how Utopia can destroy humanity. A powerful work of speculative fiction that has enthralled and terrified readers for generations, Brave New World is both a warning to be heeded and thought-provoking yet satisfying entertainment. - Container.",,,,,,,,,,,,
The Complete Life and Adventures of Santa Claus,Science Fiction,"From the book:Have you heard of the great Forest of Burzee? Nurse used to sing of it when I was a child. She sang of the big tree-trunks, standing close together, with their roots intertwining below the earth and their branches intertwining above it; of their rough coating of bark and queer, gnarled limbs; of the bushy foliage that roofed the entire forest, save where the sunbeams found a path through which to touch the ground in little spots and to cast weird and curious shadows over the mosses, the lichens and the drifts of dried leaves.",,,,,,,,,,,,
Flatland,Science Fiction,"Flatland: A Romance of Many Dimensions, though written in 1884, is still considered useful in thinking about multiple dimensions. It is also seen as a satirical depiction of Victorian society and its hierarchies. A square, who is a resident of the two-dimensional Flatland, dreams of the one-dimensional Lineland. He attempts to convince the monarch of Lineland of the possibility of another dimension, but the monarch cannot see outside the line. The square is then visited himself by a Sphere from three-dimensional Spaceland, who must show the square Spaceland before he can conceive it. As more dimensions enter the scene, the story's discussion of fixed thought and the kind of inhuman action which accompanies it intensifies.",,,,,,,,,,,,
The War of the Worlds,Science Fiction,"The ultimate science fiction classic: for more than one hundred years, this compelling tale of the Martian invasion of Earth has enthralled readers with a combination of imagination and incisive commentary on the imbalance of power that continues to be relevant today. The style is revolutionary for its era, employing a sophisticated first and third person account of the events which is both personal and focused on the holistic downfall of Earth's society. The Martians, as evil, mechanical and unknown a threat they are, remain daunting in today's society, where, despite technology's mammoth advances, humanity's hegemony over Earth is yet to be called into question. In Well's introduction to the book, where the character discusses with the later deceased Ogilvy about astronomy and the possibility of alien life defeating the 'savage' (to them) nineteenth-century Britain, is he insinuating that this is the truth and fate of humanity? It's up to you to decide…",,,,,,,,,,,,
Fahrenheit 451,Science Fiction,"Fahrenheit 451 is a 1953 dystopian novel by American writer Ray Bradbury. Often regarded as one of his best works, the novel presents a future American society where books are outlawed and ""firemen"" burn any that are found. The book's tagline explains the title as ""'the temperature at which book paper catches fire, and burns"": the autoignition temperature of paper. The lead character, Guy Montag, is a fireman who becomes disillusioned with his role of censoring literature and destroying knowledge, eventually quitting his job and committing himself to the preservation of literary and cultural writings.

The novel has been the subject of interpretations focusing on the historical role of book burning in suppressing dissenting ideas for change. In a 1956 radio interview, Bradbury said that he wrote Fahrenheit 451 because of his concerns at the time (during the McCarthy era) about the threat of book burning in the United States. In later years, he described the book as a commentary on how mass media reduces interest in reading literature.

In 1954, Fahrenheit 451 won the American Academy of Arts and Letters Award in Literature and the Commonwealth Club of California Gold Medal. It later won the Prometheus ""Hall of Fame"" Award in 1984 and a ""Retro"" Hugo Award, one of a limited number of Best Novel Retro Hugos ever given, in 2004. Bradbury was honored with a Spoken Word Grammy nomination for his 1976 audiobook version.
Also contained in:
[451° по Фаренгейту: Рассказы](
[451° по Фаренгейту: повести и рассказы](
[Works](",,,,,,,,,,,,
When the Sleeper Awakes,Science Fiction,"A troubled insomniac in 1890s England falls suddenly into a sleep-like trance, from which he does not awake for over two hundred years. During his centuries of slumber, however, investments are made that make him the richest and most powerful man on Earth. But when he comes out of his trance he is horrified to discover that the money accumulated in his name is being used to maintain a hierarchal society in which most are poor, and more than a third of all people are enslaved. Oppressed and uneducated, the masses cling desperately to one dream - that the sleeper will awake, and lead them all to freedom.",,,,,,,,,,,,
R.U.R. and The insect play,Science Fiction,"""In 1920 Čapek wrote what was to become his most famous work, the play 'R.U.R. (Rossum's Universal Robots)', a meditation on the themes of humanity and subjugation that introduced the 'robot'. He was prolific throughout the 1920s, his plays addressing a range of subjects, although best remembered as a writer of early science fiction. Čapek also dealt with contemporary moral and political issues, including the rise of corporations and European fascism""--

""Determined to liberate the mass-produced but highly intelligent robots forged in the machinery of Rossum's island factory, Helena Glory arrives in a blaze of righteousness. Soon perplexed by the robots' seeming humanity but absolute lack of sentience, she deserts her strident campaigning and falls in love with Domin, the factory's General Manager. Yet even as their life on the island appears to become more comfortable, the tide is turning against the humans ... Drawing huge international attention following its original production in 1921, 'Rossum's Universal Robots' was a strikingly prescient meditation on the themes of humanity and subjugation that were to dominate the twentieth century. Seen as a precursor to works including Huxley's 'Brave New world', it is a true classic of the dystopian genre, and remains all too resonant""--",,,,,,,,,,,,
The Island of Dr. Moreau,Science Fiction,"Ranked among the classic novels of the English language and the inspiration for several unforgettable movies, this early work of H. G. Wells was greeted in 1896 by howls of protest from reviewers, who found it horrifying and blasphemous. They wanted to know more about the wondrous possibilities of science shown in his first book, The Time Machine, not its potential for misuse and terror. In The Island of Dr. Moreau, a shipwrecked gentleman named Edward Prendick, stranded on a Pacific island lorded over by the notorious Dr. Moreau, confronts dark secrets, strange creatures, and a reason to run for his life.

While this riveting tale was intended to be a commentary on evolution, divine creation, and the tension between human nature and culture, modern readers familiar with genetic engineering will marvel at Wells's prediction of the ethical issues raised by producing ""smarter"" human beings or bringing back extinct species. These levels of interpretation add a richness to Prendick's adventures on Dr. Moreau's island of lost souls without distracting from what is still a rip-roaring good read.",,,,,,,,,,,,
It Can't Happen Here,Science Fiction,"It Can't Happen Here is a semi-satirical American political novel published in 1935. It's Plot centers around newspaperman Doremus Jessup's struggle against the fascist regime of America' new president, Berzelius ""Buzz"" Windrip. Windripis elected on a platform promising to restore prosperity and $5,000 a year for all citizens. Once in office, however, he becomes a dictator, among other things, putting his enemies in concentration camps. The handsome dining room of the Hotel Wessex, with its gilded plaster shields and the mural depicting the Green Mountains, had been reserved for the Ladies' Night Dinner of the Fort Beulah Rotary Club.",,,,,,,,,,,,
The Last Battle,Science Fiction,"For the first time, an edition of Lewis's classic fantasy fiction packaged specifically for adults. Complementing the look of the author's non-fiction books, and anticipating the forthcoming Narnia feature films, this edition contains an exclusive ""P.S."" section about the history of the book, plus a round-up of the first six titles. The last days of Narnia, and all hope seems lost as lies and treachery interweave to threaten the destruction of everything. As the battle lines are drawn, old friends are summoned back to Narnia, though none can predict the outcome in this magnificent ending to the famous series. On 9 December 2005, Andrew (Shrek) Adamson's live-action film adaptation of The Lion, the Witch and the Wardrobe will be released by Disney, and it is already being hailed as the biggest film franchise of all time, guaranteed to appeal to adults and children across the globe. The second film is already in development. Sporting breathtaking new photographic covers, these new adult editions of the seven Chronicles of Narnia now give everyone an opportunity to experience the adventures in their original form. Re-live your childhood fantasies or discover for the first time what everyone will be talking about by Christmas and savour some of the best-loved stories ever written.",,,,,,,,,,,,
Animal Farm,Science Fiction,"Animal Farm is a brilliant political satire and a powerful and affecting story of revolutions and idealism, power and corruption. 'All animals are equal. But some animals are more equal than others.' Mr Jones of Manor Farm is so lazy and drunken that one day he forgets to feed his livestock. The ensuing rebellion under the leadership of the pigs Napoleon and Snowball leads to the animals taking over the farm. Vowing to eliminate the terrible inequities of the farmyard, the renamed Animal Farm is organised to benefit all who walk on four legs. But as time passes, the ideals of the rebellion are corrupted, then forgotten. And something new and unexpected emerges..",,,,,,,,,,,,
Frankenstein or The Modern Prometheus,Science Fiction,"*Frankenstein; or, The Modern Prometheus* is an 1818 novel written by English author Mary Shelley. Frankenstein tells the story of Victor Frankenstein, a young scientist who creates a sapient creature in an unorthodox scientific experiment. Shelley started writing the story when she was 18, and the first edition was published anonymously in London on 1 January 1818, when she was 20. Her name first appeared in the second edition, which was published in Paris in 1821. THE LOGBOOK OF CAPTAIN ROBERT WALTON FROM THE SHIP, THE ARCHANGEL. You will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings. ""July 24: Write my story."" In the introduction to the 1831 edition of Frankenstein, Mary Shelley presents herself as ""the daughter of two persons of distinguished literary celebrity."" In Greek mythology, Promotheus was the Titan charged with giving abilities to the animals of the earth. YOU WILL REJOICE to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings.",,,,,,,,,,,,
Ender's Game,Science Fiction,"Ender's Game is a 1985 military science fiction novel by American author Orson Scott Card. Set at an unspecified date in Earth's future, the novel presents an imperiled humankind after two conflicts with the Formics, an insectoid alien species they dub the ""buggers"". In preparation for an anticipated third invasion, children, including the novel's protagonist, Andrew ""Ender"" Wiggin, are trained from a very young age by putting them through increasingly difficult games, including some in zero gravity, where Ender's tactical genius is revealed.

The book originated as a short story of the same name, published in the August 1977 issue of Analog Science Fiction and Fact. The novel was published on January 15, 1985. Later, by elaborating on characters and plotlines depicted in the novel, Card was able to write additional books in the Ender's Game series. Card also released an updated version of Ender's Game in 1991, changing some political facts to reflect the times more accurately (e.g., to include the recent collapse of the Soviet Union and the end of the Cold War). The novel has been translated into 34 languages.

Reception of the book has been mostly positive. It has become suggested reading for many military organizations, including the United States Marine Corps. Ender's Game was recognized as ""best novel"" by the 1985 Nebula Award[3] and the 1986 Hugo Award[4] in the genres of science fiction and fantasy. Its four sequels-Speaker for the Dead (1986), Xenocide (1991), Children of the Mind (1996), and Ender in Exile (2008)-follow Ender's subsequent travels to many different worlds in the galaxy. In addition, the later novella A War of Gifts (2007) and novel Ender's Shadow (1999), plus other novels in the Shadow saga, take place during the same time period as the original.
Contained in:
[Ender's War](
See also:
[Ender's Game: 1/2](

 [1]:",,,,,,,,,,,,
The Handmaid's Tale,Science Fiction,"The Handmaid's Tale is a dystopian novel by Canadian author Margaret Atwood, published in 1985. It is set in a near-future New England, in a strongly patriarchal, totalitarian theonomic state, known as the Republic of Gilead, which has overthrown the United States government. The central character and narrator is a woman named Offred, one of the group known as ""handmaids"", who are forcibly assigned to produce children for the ""commanders"" - the ruling class of men in Gilead.

The novel explores themes of subjugated women in a patriarchal society, loss of female agency and individuality, and the various means by which they resist and attempt to gain individuality and independence.

The Handmaid's Tale won the 1985 Governor General's Award and the first Arthur C. Clarke Award in 1987; it was also nominated for the 1986 Nebula Award, the 1986 Booker Prize, and the 1987 Prometheus Award.
Also contained in:
[Novels](",,,,,,,,,,,,
She,Science Fiction,"An enduring adventure yarn set in pre colonial Africa, culminating in the discovery of a lost civilization ruled by a beautiful eternally youthful queen. ""She is generally considered to be one of the classics of imaginative literature and with 83 million copies sold by 1965, it is one of the best-selling books of all time."" See more at: In giving to the world the record of what, looked at as an adventure only, is I suppose one of the most wonderful and mysterious experiences ever undergone by mortal men, I feel it incumbent on me to explain what my exact connection with it is. There are some events of which each circumstance and surrounding detail seem to be graven on the memory in such fashion that we cannot forget them.",,,,,,,,,,,,
The Lost World,Science Fiction,"Journalist Ed Malone is looking for an adventure, and that's exactly what he finds when he meets the eccentric Professor Challenger - an adventure that leads Malone and his three companions deep into the Amazon jungle, to a lost world where dinosaurs roam free. MR. HUNGERTON, HER FATHER, REALLY WAS THE MOST TACTless person upon earth-a fluffy, feathery, untidy cockatoo of a man, perfectly good-natured, but absolutely centered upon his own silly self. MR. HUNGERTON, her father, really was the most tactless person upon earth-a fluffy, feathery, untidy cockatoo of a man, perfectly good-natured, but absolutely centred upon his own silly self. Mr. Hungerton, her father, really was the most tactless person upon earth-a fluffy, feathery, untidy cockatoo of a man, perfectly good-natured, but absolutely centred upon his own silly self.",,,,,,,,,,,,
Бѣсы,Science Fiction,"Also known as *Demons* or *The Devils*, this is Dostoyevsky's most political novel. Though critical of the left-wing revolutionaries, split as they often were into disparate factions and cells the author also tacitly rebukes the conservative elite for failing to come to terms with the high levels of disaffection in the country, a stance that would ultimately lead to their downfall. IN UNDERTAKING to describe the recent and strange incidents in our town, till lately wrapped in uneventful obscurity, I find' myself forced in absence of literary skill to begin my story rather far back, that is to say, with certain biographical details concerning that talented and highly-esteemed gentleman, Stepan Trofimovitch Verhovensky. BEFORE DESCRIBING THE EXTRAORDINARY EVENTS WHICH took place so recently in our town, hitherto not remarkable for anything in particular, I find it necessary, since I am not a skilled writer, to go back a little and begin with certain biographical details concerning our talented and greatly esteemed Stepan Trofimovich Verkhovensky. IN setting out to describe the recent and very strange events that occurred in our hitherto completely undistinguished little town, I am compelled by my own lack of talent to begin from some time back, that is, with a few biographical details about the talented and highly esteemed Stepan Trofimovich Verkhovensky.",,,,,,,,,,,,
Genji monogatari,Science Fiction,"**The most famous work of Japanese literature and the world's first novel-written a thousand years ago and one of the enduring classics of world literature.**

Written centuries before the time of Shakespeare and even Chaucer, The Tale of Genji marks the birth of the novel-and after more than a millennium, this seminal work continues to enchant readers throughout the world. Lady Murasaki Shikibu and her tale's hero, Prince Genji, have had an unmatched influence on Japanese culture. Prince Genji manifests what was to become an image of the ideal Heian era courtier; gentle and passionate. Genji is also a master poet, dancer, musician and painter. The Tale of Genji follows Prince Genji through his many loves, and varied passions. This book has influenced not only generations of courtiers and samurai of the distant past, but artists and painters even in modern times-episodes in the tale have been incorporated into the design of kimonos and handicrafts, and the four-line poems called waka which dance throughout this work have earned it a place as a classic text in the study of poetry.

This version by Kencho Suematsu was the first-ever translation in English. Condensed, it's a quarter length of the unabridged text, making it perfect for readers with limited time.

""Not speaking is the wiser part,
And words are sometimes vain,
But to completely close the heart
In silence, gives me pain.
Prince Genji, in The Tale of Genji

About the Author: Lady Murasaki Shikibu, born in 978, was a member of the famed Fujiwara clan-one of the most influential families of the Heian period. After the death of her husband, Shikibu immersed herself in Buddhism, and the religion's influence permeates her writing.",,,,,,,,,,,,
The Magician's Nephew,Science Fiction,"Digory let out a scream. ""What's happened to Polly?"" ""Congratulate me, my dear boy,"" said Uncle Andrew, rubbing his hands. ""My experiment has succeeded. The little girl's gone - vanished - right out of this world."" When Digory and Polly discover Uncle Andrew's secret workshop, they are tricked into touching some magic rings that take them right out of this world. But even Uncle Andrew doesn't realise the wonders that lie ahead as they discover the gateway to the magical land of Narnia, where many thrilling adventures await them.",,,,,,,,,,,,
Foundation,Science Fiction,"One of the great masterworks of science fiction, the Foundation novels of Isaac Asimov are unsurpassed for their unique blend of nonstop action, daring ideas, and extensive world-building. 

The story of our future begins with the history of Foundation and its greatest psychohistorian: Hari Seldon. For twelve thousand years the Galactic Empire has ruled supreme. Now it is dying. Only Hari Seldon, creator of the revolutionary science of psychohistory, can see into the future--a dark age of ignorance, barbarism, and warfare that will last thirty thousand years. To preserve knowledge and save mankind, Seldon gathers the best minds in the Empire--both scientists and scholars--and brings them to a bleak planet at the edge of the Galaxy to serve as a beacon of hope for future generations. He calls his sanctuary the Foundation.

But soon the fledgling Foundation finds itself at the mercy of corrupt warlords rising in the wake of the receding Empire. And mankind's last best hope is faced with an agonizing choice: submit to the barbarians and live as slaves--or take a stand for freedom and risk total destruction.",,,,,,,,,,,,
The Picture of Dorian Gray,Science Fiction,"**The Picture of Dorian Gray** is a philosophical novel by Irish writer Oscar Wilde. A shorter novella-length version was published in the July 1890 issue of the American periodical *Lippincott's Monthly Magazine*. The novel-length version was published in April 1891.

(Source: [Wikipedia]( The studio was filled with the rich odour of roses, and when the light summer wind stirred amidst the trees of the garden there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn. O estúdio estava tomado pelo profundo perfume das rosas e quando o suave vento estival corria por entre as árvores do jardim trazia porta a dentro a fragrância carregada das liláceas ou ainda o perfume delicado do espinheiro rosa. Starker Rosenduft erfüllte das Atelier, und wenn der leichte Sommerwind sich zwsichen den Bäumen des Gartens regte, drang durch die geöffnete Tür der schwere Geruch des Flieders und der zartere Hauch des Rotdorns. L'artiste est celui qui crée des choses de beauté.",,,,,,,,,,,,
The Princess and the Goblin,Science Fiction,"There was once a little princess whose father was king over a great country full of mountains and valleys. His palace was built upon one of the mountains, and was very grand and beautiful. The princess, whose name was Irene, was born there, but she was sent soon after her birth, because her mother was not very strong, to be brought up by country people in a large house, half castle, half farmhouse, on the side of another mountain, about half-way between its base and its peak.",,,,,,,,,,,,
Poirot investigates,Science Fiction,"in published order, the first 10 Christie mystery books featuring Poirot are: 1) The Mysterious Affair at Styles, 2) The Murder on the Links, 3) Poirot Investigates, 4) The Murder of Roger Ackroyd, 5) The Big Four, 6) The Mystery of the Blue Train, 7) Black Coffee: A Mystery Play in Three Acts [Charles Osborne novelized the play in 1998 under the title, Black Coffee], 8) Peril at End House, 9) Lord Edgware Dies, and 10) Murder on the Orient Express. Each has its own entry on Goodreads.",,,,,,,,,,,,
